127.0.0.1 - - [17/Sep/2017:15:34:09 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 200 9838
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/angular-chart.js/dist/angular-chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/header/headerCtrl.js HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/MainModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/FullModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2017:15:34:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesCtrl.js HTTP/1.1" 304 -
