127.0.0.1 - - [07/Sep/2017:11:32:57 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/MainModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/FullModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/IntroCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:11:32:58 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/MarketHistoryCtrl.js HTTP/1.1" 304 -
