127.0.0.1 - - [20/Sep/2017:12:47:41 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:10 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/ProductCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/MarketShareCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Costs/CostsCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/TweetsAnalysisCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Clients/ClientsCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:11 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:14 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/PrixceModel/MainModel.html HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:15 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:20 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/BasicPackages.html HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:48:28 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/HighPackages.html HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:50:33 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:51:30 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:55:24 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/angular-chart.js/dist/angular-chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesPackCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/marketCss/prices.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/header/headerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:09 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/BasicPackages.html HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:09 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:13 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/HighPackages.html HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:32 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/angular-chart.js/dist/angular-chart.min.js.map HTTP/1.1" 200 22553
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:56:32 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:58:51 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:58:51 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/ChartPrixce/Chart.js/node_modules/angular-chart.js/dist/angular-chart.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:12:58:51 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:00:01 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:00:01 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:00:01 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/HighPackages.html HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:01:01 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:01:01 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:01:02 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/HighPackages.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:03:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:03:08 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 200 2453
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:04:56 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/HighPackages.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:06:30 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:06:30 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:06:30 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/Market/pricesPack/HighPackages.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:06:43 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:13:07:34 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
