127.0.0.1 - - [11/Sep/2017:12:08:14 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/FullModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/MainModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/IntroCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/MarketHistoryCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricingStrategiesCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/MarketShareCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/ProductCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/TweetsAnalysisCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Clients/ClientsCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Costs/CostsCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:16 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/js/vendor/holder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:08:17 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/PrixceModel/MainModel.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:03 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/MainModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/FullModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/IntroCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/MarketHistoryCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricingStrategiesCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/ProductCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/MarketShareCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/TweetsAnalysisCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Clients/ClientsCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Costs/CostsCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/js/vendor/holder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:04 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:05 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Sep/2017:12:09:05 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/PrixceModel/MainModel.html HTTP/1.1" 304 -
