127.0.0.1 - - [06/Sep/2017:09:40:46 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 200 8317
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.js HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dashboard_css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/MainModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/PrixceModel/FullModelCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/IntroCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/MarketHistoryCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricesCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Market/PricingStrategiesCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/ProductCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/MarketShareCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Value/TweetsAnalysisCtrl.js HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Clients/ClientsCtrl.js HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:48 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/cotor/Costs/CostsCtrl.js HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:49 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:49 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:49 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/BootsPrixce/assets/js/vendor/holder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:40:49 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/HTML/PrixceModel/MainModel.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:42:06 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:42:06 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:42:06 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:42:06 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2017:09:42:06 +0300] "GET /prixceFrontEnd/Prixce_FrontEnd/AngularPrixce/js/route.config.js HTTP/1.1" 304 -
